지명,위치,Y좌표,X좌표
가림역,양강도 보천군 가산리,128.2600531,41.50871501
가응역,함경남도 단천시 가응리,128.9585983,40.52773572
가창역,평안남도 북창군 연류리,126.2896989,39.52926051
각시바위,함경남도 낙원군 송해리,127.8750217,39.98135901
각암역,평안남도 개천시 각암동,125.8634193,39.54237741
간상봉역,양강도 삼지연군,128.3127307,41.57148443
간평역,함경북도 회령시 방원리,129.779331,42.65585128
갈마역,강원도 원산시 갈마동,127.4668765,39.14341264
갈산역,황해남도 청단군 갈산리,125.852473,37.99179176
감호역,강원도 고성군,128.3354077,38.639973
강계선,자강도 장강군,126.8665346,40.96601276
강계역,자강도 강계시 강서동,126.5813341,40.9705052
강구역,양강도 혜산시 강구동,128.1306111,41.37910558
강덕역,함경북도 청진시 송평구역 강덕일동,129.7281598,41.76913491
강동역,평양직할시 강동군,126.1289539,39.13137015
강령역,황해남도 강령군,125.5115765,37.90101399
강상리역,함경남도,128.3223531,40.07964585
강서역,남포특별시 강서구역,125.5217441,38.91723657
강안선,평안북도,125.2510122,40.03186697
강안역,평안북도 신의주시 압강동,124.3854152,40.10265236
강양역,함경북도 온성군,129.8525373,42.91880173
강원선,강원도 원산시,127.4198214,38.93099435
강하역,양강도 김정숙군 강하리,127.6769967,41.41533038
개고청년역,자강도 송원군,126.3008164,40.37221357
개선역,평양직할시 모란봉구역,125.7540306,39.04317562
개천선,평안남도,125.74458,39.65499828
개풍역,황해북도 개성시 개풍군,126.4574515,37.95239414
거산역,함경남도 북청군 평리,128.5133268,40.18603099
거차역,평안남도 양덕군 거상리,126.8022994,39.29165378
거흥역,평안남도 성천군 거흥리,126.330636,39.31873035
건국역,평양직할시 보통강구역,125.710725,39.03260826
건설역,평양직할시 보통강구역,125.7327353,39.03467476
건자역,함경남도 북청군 건자리,128.5617687,40.17526539
건창역,양강도 삼지연군,128.2516899,41.75616292
건하역,자강도 만포시 건하리,126.3463882,41.13146511
검불랑역,강원도 세포군 원남리,127.3191442,38.56085977
검산리역,양강도 혜산시 검산동,128.2604051,41.42335177
경성역,함경북도 경성군,129.6087703,41.58450383
경안역,함경남도 북청군 경안대리,128.434681,40.17310822
경포역,함경남도 홍원군,127.9971209,40.06231156
경흥역,함경남도 신흥군 경흥리,127.5961081,40.28930108
계정역,황해북도 금천군 계정리,126.4538514,38.0665664
고건원선,함경북도 경원군,130.2134338,42.67370795
고건원역,함경북도 새별군,130.2031874,42.66067649
고령진역,함경북도 회령시 인계리,129.7498785,42.52904419
고무산역,함경북도 부령군,129.6962276,42.11683203
고비역,평양직할시 강동군,126.0262462,39.10381007
고산역,강원도 고산군,127.4259912,38.8571258
고성역,강원도 고성군,128.1771015,38.74426147
고안역,평안북도 정주시 암두리,125.2607693,39.75654575
고암역,강원도 문천시 고암동,127.3994172,39.31750099
고원역,함경남도 고원군,127.2487633,39.44072028
고원탄광선,함경남도 수동구,126.9989796,39.41877597
고읍역,평안북도 정주시 오산동,125.3079894,39.60730034
고인역,자강도 전천군,126.392154,40.50365398
고참역,함경북도 명간군,129.3766424,41.12257939
고참탄광선,함경북도 명천군,129.4115876,41.08123887
곡구역,함경남도 이원군 곡구리,128.7588362,40.35588519
곡하역,자강도 강계시 의진동,126.4969114,40.98232423
곤장덕역,양강도 보천군,128.3062527,41.52432121
공북역,자강도 장강군,126.744753,41.01157251
공인역,자강도 강계시 공인동,126.6038007,40.91555515
과일역,황해남도 과일군,125.0239265,38.4407866
곽산역,평안북도 곽산군,125.0792052,39.68496901
관곡역,나선특별시 관곡동,130.3336961,42.30922869
관해역,함경북도 청진시 청암구역 관해동,130.0905498,42.09574534
광명역,강원도 고산군 광명리,127.4104867,38.9791888
광명역,평양직할시 대성구역,125.7839917,39.06526871
광복역,평양직할시 만경대구역,125.7001327,39.03653515
광천역,함경남도 단천시 광천동,128.9945023,40.56191059
구룡평역,나선특별시 홍의리,130.5295337,42.36576717
구성선,평안북도 태천군,125.5217786,39.88243524
구성역,평안북도 구성시 역전동,125.2589925,39.98287196
구시물동역,양강도 보천군,128.2933534,41.55729927
구오역,자강도 만포시 구오동,126.2445299,41.14038157
구운봉역,자강도 자성군,126.5277949,41.37721169
구읍역,평안남도 개천시 구읍리,125.9690973,39.66753255
구장역,평안북도 구장군,126.0917607,39.8963655
구장청년역,평안북도 구장군,126.0227777,39.87050428
구정역,평안남도 은산군 밀전리,126.234416,39.46117437
구중역,자강도 자성군 구중영리,126.5998245,41.38427872
구탄역,황해남도 송화군 구탄리,125.190722,38.33192159
구현역,평안남도 북창군,126.3277119,39.60206049
군사철도창고,평양직할시 형제산구역,125.713604,39.14527488
군성역,함경남도 장진군,127.29384,40.32639919
굴송역,양강도 백암군,128.8173765,41.59093945
귀성역,평안남도 온천군,125.1807016,38.85833242
귀인역,자강도 자성군 귀인리,126.7033693,41.41461075
극동역,함경북도 화성군,129.5383036,41.26418009
근동역,함경북도 청진시 송평구역 근동리,129.7287692,41.81573822
금강산청년선,강원도 통천군,127.9254442,38.88689222
금강산청년역,강원도 고성군 온정리,128.2161477,38.69155673
금골선,함경남도 단천시,128.8653062,40.78724394
금골역,함경남도 단천시 금골일동,128.8123713,40.91949778
금바위역,함경북도 청진시 청암구역 금바위동,129.8125696,41.85673681
금봉강역,강원도 통천군 패천리,127.7827475,39.02526142
금산역,황해남도 재령군 용교리,125.6825578,38.3978876
금산포역,황해남도 은률군,125.1719271,38.57529925
금생역,함경북도 회령시 궁심동,129.7457249,42.47823424
금송역,함경북도 길주군 금송리,129.3469002,41.02106303
금옥역,평양직할시 승호구역 금옥리,126.0896268,39.00839711
금천역,황해북도 금천군,126.4751794,38.16348686
금패역,함경북도 무산군 차유리,129.472514,42.13489692
금평역,평안남도 성천군 금평리,126.2403826,39.39262934
기산청년역,강원도 세포군 기산리,127.1040595,38.59682818
기암역,함경남도 이원군 기암리,128.811419,40.36024007
기탄역,황해북도 평산군 기탄리,126.4786637,38.38950953
긴등역,황해북도 황주군 외상리,125.7778982,38.74127405
길주청년역,함경북도 길주군,129.3233444,40.96089119
나남역,함경북도 청진시 나남구역,129.6971137,41.71807645
나산역,함경남도 낙원군 상송리,127.8259597,39.93257108
나적역,,128.9399979,41.82983159
나죽역,양강도 김형직군 나죽리,127.3610449,41.46224854
나진역,나선특별시,130.2912711,42.24863848
나하대역,함경남도 북청군 나하대리,128.2743515,40.27115802
나흥역,함경남도 이원군,128.5972581,40.19855619
낙랑역,평양직할시 낙랑구역,125.6865575,38.97011077
낙산역,함경북도 청진시 청암구역 낙산동,130.1626019,42.11678017
낙산역,황해남도 장연군,130.1626019,42.11678017
낙생역,평안남도 증산군 낙생리,125.2943458,39.0954155
낙연역,황해남도 장연군,125.141606,38.25217469
낙원역,평안북도 신의주시,127.7727875,39.90607322
낙원역,평양직할시,125.8164972,39.07166608
낙원역,함경남도 낙원군,127.7726092,39.90614256
낙천역,강원도 세포군 삼방리,127.3733396,38.73938805
남강덕역,함경북도 청진시 송평구역 강덕이동,129.7303595,41.7589473
남계역,양강도 백암군,128.8363277,41.21699928
남덕역,평안남도 덕천시 남덕동,126.2927048,39.67816932
