기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1989,3,제3류 어류·갑각류·연체동물 및 기타 수생무척추동물,173.901,,118212,,,,,,173.901,,118212,
1989,5,제5류 다른 류에 분류되지 아니한 동물성 생산품,79.152,,4200,,,,,,79.152,,4200,
1989,7,제7류 식용의 채소·뿌리 및 괴경,24.498,,30800,,,,,,24.498,,30800,
1989,12,"제12류 채유용에 적합한 종자와 과실, 각종의 종자와 과실, 공업용 또는 의약용의 식물, 짚과 사료용 식물",390.068,,76410,,,,,,390.068,,76410,
1989,22,제22류 음료·알콜 및 식초,369.598,,0,,,,,,369.598,,0,
1989,25,"제25류 소금, 황, 토석류 및 석고·석회와 시멘트",44.148,,1960000,,,,,,44.148,,1960000,
1989,27,"제27류 광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스",1050,,20900000,,,,,,1050,,20900000,
1989,43,제43류 모피와 인조모피 및 이들의 제품,3.649,,0,,,,,,3.649,,0,
1989,44,제44류 목재와 그 제품 및 목탄,3.456,,0,,,,,,3.456,,0,
1989,49,"제49류 인쇄서적·신문·회화 및 기타의 인쇄물, 수제문서·타이프문서 및 도면",0.9,,0,,,,,,0.9,,0,
1989,50,제50류 견,1311.007,,25753,,,,,,1311.007,,25753,
1989,58,"제58류 특수직물, 터후트한 섬유직물, 레이스, 태피스트리, 트리밍과 자수포",4.937,,0,,,,,,4.937,,0,
1989,62,제62류 의류와 그 부속품(메리야스 편물 또는 뜨게질 편물의 것을 제외한다),,,,,69,,0,,69,,0,
1989,69,제69류 도자제품,104.132,,0,,,,,,104.132,,0,
1989,72,제72류 철강,6581.883,,18239600,,,,,,6581.883,,18239600,
1989,74,제74류 동과 그 제품,2446.755,,788600,,,,,,2446.755,,788600,
1989,75,제75류 니켈과 그 제품,206.764,,20000,,,,,,206.764,,20000,
1989,78,제78류 연(鉛)과 그 제품,136.429,,178000,,,,,,136.429,,178000,
1989,79,제79류 아연과 그 제품,5700.524,,3353700,,,,,,5700.524,,3353700,
1989,84,제84류 원자로·보일러와 기계류 및 이들의 부분품,23.671,,0,,,,,,23.671,,0,
1990,3,제3류 어류·갑각류·연체동물 및 기타 수생무척추동물,326.414,87.701,105221,-10.989,,,,,326.414,87.701,105221,-10.989
